col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027
,,수력,Hydro,708700,1150549,216584,234926,52788,210662,50818,810163,2638,,,수력,Hydro,0,28438,0,6269,14966,0,437,0,3487940,
,,해양에너지,Marine,423839,0,0,0,0,0,0,0,1,,,해양에너지,Marine,0,0,0,0,0,0,0,0,423840,
,,바이오가스,Biogas,13656,165810,6515,5793,1314,98874,3916,5674,2718,,,바이오가스,Biogas,27783,9881,0,0,5229,0,0,4131,351295,
,,매립가스,LFG,0,0,0,0,2933,0,0,508,1778,,,매립가스,LFG,0,188584,0,3051,0,0,0,6483,203336,
,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,1463142,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,1463142,
,,바이오매스,Biomass,245664,1528391,53242,0,0,2568409,2482954,0,8538,,,바이오매스,Biomass,0,29766,0,0,0,12593,0,0,6929556,
,,합계,Total,3270298,4753476,978386,2023620,3589669,4174925,5536192,1399397,2458688,,,합계,Total,371271,1686929,75243,144833,92334,85291,265860,443988,31350400,
"전력거래정산금
(PPA제외)
(백만원)","Payment in Power Market
(Except for PPA)
(One Million Won)",연료전지,Fuel Cell,280000,50458,4307,4106,52641,18695,90100,38367,0,"전력거래정산금
(PPA제외)
(백만원)","Payment in Power Market
(Except for PPA)
(One Million Won)",연료전지,Fuel Cell,59289,245018,10764,11414,1408,7394,39623,59881,973465,
,,IGCC,IGCC,0,0,0,0,0,0,290375,0,0,,,IGCC,IGCC,0,0,0,0,0,0,0,0,290375,
,,태양광,Photovoltaic,67564,128473,102843,158457,511227,195964,190193,71437,91880,,,태양광,Photovoltaic,3799,11173,3136,14612,12037,6078,9266,20277,1598417,
,,풍력,Wind,821,172432,24522,166195,109335,30097,382,0,131614,,,풍력,Wind,0,7168,0,0,0,0,41,0,642607,
,,수력,Hydro,146383,241450,42493,46268,10237,38653,9625,175541,640,,,수력,Hydro,0,5274,0,1142,2809,0,76,0,720590,
,,해양에너지,Marine,78328,0,0,0,0,0,0,0,0,,,해양에너지,Marine,0,0,0,0,0,0,0,0,78328,
,,바이오가스,Biogas,2448,28908,1232,1062,241,18463,688,1025,659,,,바이오가스,Biogas,5157,1860,0,0,1008,0,0,799,63550,
,,매립가스,LFG,0,0,0,0,543,0,0,96,428,,,매립가스,LFG,0,34396,0,559,0,0,0,1189,37210,
,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,682498,,,바이오중유,Bio Heavy Oil,0,0,0,0,0,0,0,0,682498,
,,바이오매스,Biomass,45803,290602,10013,0,0,490314,457749,0,2106,,,바이오매스,Biomass,0,5739,0,0,0,2122,0,0,1304448,
,,합계,Total,621345,912322,185410,376089,684224,792186,1039112,286466,909825,,,합계,Total,68245,310627,13900,27726,17263,15594,49007,82146,6391487,
"1) RPS의무이행비용, 배출권거래비용 및 예측제도정산금을 제외한 금액임",,,,,,,,,,,,,,,,,,,,,,,,,,
