col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1. 지역별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,서울,인천,구분,대전,광주,대구,세종,울산,부산,RPS의무이행비용정산금,배출권거래비용정산금,예측제도정산금,전국,[단위 : 억원],,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,Seoul,Incheon,,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,[Unit : 100 Million Won],,,,
Payment in Power Market by Fuel Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,"RPS의무이행비용
정산금",,"배출권거래비용
정산금",,예측제도정산금,,합계,증감률(%),"[단위 : 억원, %]",,,,
,Nuclear Power,,Coal,,LNG,,Oil,,PSH,,Renewable,,Others,,Renewable Portfolio Standard Payment,,Emission Trading Settlement Payment,,Power Demand Forecasting Payment,,,,"[Unit : 100 Million Won, %]",,,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,,
2001,31926,33.6,35209,37,14957,15.7,11375,12,1147,1.2,504,0.5,-,-,,,,,,,95117,,,,,,
2002,45357,34.3,48934,37,23734,17.9,11950,9,1729,1.3,630,0.5,-,-,,,,,,,132334,39.1,,,,,
2003,49452,34,49769,34.2,28320,19.4,14517,10,1861,1.3,1705,1.2,-,-,,,,,,,145623,10,,,,,
2004,49456,31.6,51980,33.2,37000,23.7,14432,9.2,1652,1.1,1902,1.2,-,-,,,,,,,156422,7.4,,,,,
2005,54887,31.8,56800,32.9,42037,24.4,15368,8.9,1628,0.9,1906,1.1,-,-,,,,,,,172626,10.4,,,,,
2006,54190,28.7,52519,27.8,58758,31.1,17953,9.5,2381,1.3,3323,1.8,-,-,,,,,,,189125,9.6,,,,,
2007,53827,25.4,62370,29.5,68901,32.6,19587,9.3,2284,1.1,4605,2.2,-,-,,,,,,,211572,11.9,,,,,
2008,56291,21,89487,33.4,93644,34.9,17430,6.5,4880,1.8,6267,2.3,-,-,,,,,,,267999,26.7,,,,,
2009,50181,18.6,115675,43,74542,27.7,18949,7,4212,1.6,5558,2.1,-,-,,,,,,,269118,0.4,,,,,
2010,56207,17.4,119886,37.2,109074,33.8,21860,6.8,5621,1.7,9595,3,-,-,,,,,,,322243,19.7,,,,,
2011,57803,15.7,132380,36,136668,37.2,21608,5.9,5427,1.5,13899,3.8,-,-,,,,,,,367784,14.1,,,,,
2012,56736,13.3,130623,30.7,176799,41.6,36740,8.6,7774,1.8,16725,3.9,-,-,,,,,,,425397,15.7,,,,,
2013,51700,12.3,116370,27.6,192693,45.8,32716,7.8,8349,2,18684,4.4,-,-,587,0.1,,,,,421099,-1,,,,,
2014,81606,18.4,126941,28.6,184541,41.6,16805,3.8,8647,1.9,20267,4.6,2,0,4909,1.1,,,,,443719,5.4,,,,,
2015,98535,23.7,139916,33.6,134249,32.2,14137,3.4,4833,1.2,17833,4.3,14,0,6802,1.6,,,,,416320,-6.2,,,,,
2016,104789,25.1,153792,36.9,111044,26.6,14571,3.5,3842,0.9,17056,4.1,171,0,11811,2.8,,,,,417076,0.2,,,,,
2017,85723,19.1,180551,40.3,131286,29.3,9483,2.1,4494,1,20461,4.6,272,0.1,14631,3.3,813,0.2,,,447712,7.3,,,,,
2018,78910,15.6,188173,37.1,174366,34.4,11774,2.3,4887,1,25251,5,471,0.1,20571,4.1,2624,0.5,,,507027,13.2,,,,,
2019,80941,16.2,187927,37.6,164803,33,9177,1.8,4181,0.8,24585,4.9,2293,0.5,22422,4.5,3388,0.7,,,499718,-1.4,,,,,
2020,90956,20.9,152742,35,138963,31.9,4222,1,3680,0.8,17983,4.1,6048,1.4,20031,4.6,1301,0.3,,,435925,-12.8,,,,,
2021,84478,15.3,187078,34,198852,36.1,4592,0.8,5149,0.9,27448,5,2629,0.5,34982,6.4,5518,1,2,0,550727,26.3,,,,,
2022,87905,9.9,291863,33,381743,43.2,3958,0.4,10286,1.2,63915,7.2,3858,0.4,37575,4.2,3409,0.4,64,0,884575,60.6,,,,,
2022.1,9430,13.3,22826,32.3,30874,43.7,1005,1.4,987,1.4,3904,5.5,301,0.4,1378,1.9,0,0,2,0,70709,49.5,,,,,
2,9039,12.6,22458,31.3,32950,45.9,384,0.5,929,1.3,4858,6.8,387,0.5,804,1.1,0,0,4,0,71813,82.7,,,,,
3,7824,11,19522,27.5,35635,50.3,323,0.5,777,1.1,5008,7.1,346,0.5,1473,2.1,0,0,4,0,70913,74.4,,,,,
4,6799,10.3,20866,31.7,29007,44.1,219,0.3,633,1,5427,8.3,299,0.5,2520,3.8,0,0,4,0,65773,96.8,,,,,
5,5478,10.2,16843,31.3,19137,35.6,114,0.2,491,0.9,4307,8,199,0.4,3841,7.1,3409,6.3,6,0,53823,31.8,,,,,
6,5389,10.6,18871,37,18999,37.3,214,0.4,466,0.9,3458,6.8,174,0.3,3394,6.7,0,0,4,0,50968,28.9,,,,,
7,7581,9,28329,33.8,28671,34.2,351,0.4,839,1,4551,5.4,225,0.3,13353,15.9,0,0,5,0,83906,36.1,,,,,
8,9432,10.5,34408,38.4,35398,39.5,223,0.2,1237,1.4,6933,7.7,357,0.4,1578,1.8,0,0,6,0,89570,80.1,,,,,
9,6477,8.3,27442,35,32364,41.3,220,0.3,1019,1.3,7084,9,341,0.4,3350,4.3,0,0,7,0,78304,101.3,,,,,
10,6620,8.6,25140,32.7,33751,43.9,211,0.3,1019,1.3,7209,9.4,554,0.7,2429,3.2,0,0,9,0,76942,81.9,,,,,
11,6524,8.4,25600,32.9,36383,46.7,251,0.3,988,1.3,6213,8,349,0.4,1611,2.1,0,0,8,0,77926,55.2,,,,,
12,7313,7.8,29557,31.5,48574,51.7,442,0.5,902,1,4963,5.3,327,0.3,1845,2,0,0,6,0,93929,40.4,,,,,
4-4. 시간대별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,구분,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계,[단위 : 횟수]
,1 Hour,2 Hour,3 Hour,4 Hour,5 Hour,6 Hour,7 Hour,8 Hour,9 Hour,10 Hour,11 Hour,12 Hour,,13 Hour,14 Hour,15 Hour,16 Hour,17 Hour,18 Hour,19 Hour,20 Hour,21 Hour,22 Hour,23 Hour,24 Hour,Total,[Unit : Number of Times]
2001,3788,3545,3391,3266,3209,3237,3338,3489,3756,4075,4158,4184,2001,3981,4126,4175,4142,4140,4142,4171,4203,4183,4164,4290,5965,95117,
2002,5176,4850,4616,4463,4384,4413,4530,4702,4979,5708,5936,5827,2002,5152,5702,5795,5757,5756,5770,6000,6020,5848,5857,6059,9036,132334,
2003,3772,3379,3165,2943,2889,2942,3119,3327,3689,7292,8513,7982,2003,5494,7278,7935,7874,7872,7333,8014,8059,7538,7442,8127,9646,145623,
2004,4165,3817,3582,3428,3390,3438,3606,3831,4116,7668,8909,8397,2004,5892,7662,8347,8284,8295,7757,8435,8471,7960,7849,8608,10513,156422,
2005,4629,4227,3991,3833,3782,3825,3997,4262,4620,8473,9825,9294,2005,6587,8499,9235,9177,9182,8622,9338,9392,8783,8656,9496,10899,172626,
2006,5022,4459,4167,4020,4021,4146,4383,4664,5156,9323,10740,10184,2006,7145,9247,10093,9975,9989,9405,10140,10268,9557,9379,10400,13241,189125,
2007,7973,6719,6330,6147,6192,6417,6783,7117,7687,9582,9835,10165,2007,8620,9076,9992,9726,9592,9513,9815,9916,9866,9673,9944,14894,211572,
2008,9892,8203,7625,7380,7517,7901,8559,9128,10262,12685,13247,13757,2008,11354,12375,13472,13063,12916,12762,13010,13140,12953,12438,12616,11743,267999,
2009,10198,8500,8002,7805,8026,8441,9050,9462,10459,12671,13129,13550,2009,11309,12208,13217,12857,12663,12528,12841,12846,12634,12295,12600,11825,269118,
2010,11626,9794,9393,8979,9214,9682,10361,10989,12553,15612,16375,16835,2010,13491,15004,16489,15756,15624,15422,15707,15616,15068,14440,14545,13667,322243,
2011,13394,11735,11305,11083,11285,11696,12499,13261,14882,17338,17790,18450,2011,15527,17128,18201,17817,17644,17145,17372,17358,16981,16262,16295,15337,367784,
2012,15125,13335,13018,12863,13064,13443,14165,15201,17736,20479,20989,21276,2012,18198,20014,21065,20664,20434,19929,20189,20106,19500,18546,18452,17606,425397,
2013,14954,13300,13021,12949,13093,13411,14064,14952,17282,20296,20586,20689,2013,18192,19587,20684,20383,20161,19894,20160,20028,19553,18697,18231,16932,421099,
2014,16231,14776,14393,14164,14356,14726,15493,16425,18356,21006,21253,21342,2014,18972,20227,21231,20968,20819,20560,20817,20712,20264,19520,19143,17965,443719,
2015,14599,13521,12905,12615,12859,13421,14405,15692,18262,19974,20404,20194,2015,18035,19550,20079,19809,19991,19782,19966,19867,18970,17662,17005,16749,416320,
2016,14841,13826,13338,13178,13411,13897,14843,15968,18261,19783,20170,19991,2016,17899,19430,19930,19745,19915,19752,19802,19578,18675,17442,16745,16657,417076,
2017,15828,14703,14269,14080,14407,15011,16134,17526,19867,21243,21645,21426,2017,19186,20857,21422,21259,21517,21318,21120,20809,19825,18565,17861,17835,447712,
2018,17906,16864,16460,16297,16565,17202,18244,19741,22544,23982,24357,24054,2018,21687,23488,24121,24042,24438,24256,23992,23505,22285,20900,20087,20010,507027,
