col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021
12,20784,12488,11724,19047,16013,3632,26568,2616,1926,12,995,14187,201,235,919,1184,6912,6727,146157,
1) 지역 구분은 전력시장에 등록된 발전기의 소재지 기준으로 분류함,,,,,,,,,,,,,,,,,,,,
"2) 현재 기준 세종시 소재 발전기의 경우, 2011년까지는 당시의 행정구역을 기준으로, 2012년부터는 세종으로 분류함",,,,,,,,,,,,,,,,,,,,
2-2. 회원사별 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,
Market-Registered Generation Capacity by Members,,,,,,,,,,,,,,,,,,,,
구분,A 회원사,,B 회원사,,C 회원사,,D 회원사,,E 회원사,,F 회원사,,기타,,합계,증감률(%),"[단위 : MW, %]",,,
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,,"[Unit : MW, %]",,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,
2001,15250,32,5565,11.7,6393,13.4,6846,14.4,6055,12.7,7500,15.8,-,-,47609,,,,,
2002,16250,32.6,5565,11.2,6993,14,7346,14.7,6195,12.4,7500,15,-,-,49849,4.7,,,,
2003,17250,30.3,6365,11.2,6953,12.2,7346,12.9,7395,13,7500,13.2,4080,7.2,56889,14.1,,,,
2004,18250,31,7165,12.2,6953,11.8,7280,12.4,7551,12.8,7500,12.7,4210,7.1,58910,3.6,,,,
2005,18250,29.7,7194,11.7,7497,12.2,7280,11.8,7551,12.3,8500,13.8,5259,8.5,61532,4.5,,,,
2006,18250,27.9,7198,11,8500,13,8380,12.8,7751,11.9,9001,13.8,6255,9.6,65336,6.2,,,,
2007,18251,26.7,8071,11.8,8500,12.4,8884,13,7766,11.3,9501,13.9,7466,10.9,68441,4.8,,,,
2008,18256,25.6,8941,12.6,9505,13.3,8885,12.5,8267,11.6,9501,13.3,7850,11,71207,4,,,,
2009,18256,24.9,8943,12.2,9399,12.8,9603,13.1,8779,12,9509,13,8798,12,73288,2.9,,,,
2010,23159,29.9,8353,10.8,8397,10.9,8404,10.9,9238,11.9,8809,11.4,10999,14.2,77360,5.6,,,,
2011,24019,30.5,8374,10.6,7949,10.1,8404,10.7,9239,11.7,8816,11.2,12025,15.3,78826,1.9,,,,
2012,26032,31.5,8177,9.9,8506,10.3,8409,10.2,9240,11.2,8823,10.7,13337,16.2,82524,4.7,,,,
2013,26036,29.9,8205,9.4,8933,10.3,8997,10.3,9617,11,9348,10.7,15939,18.3,87075,5.5,,,,
2014,26036,27.8,9954,10.6,8434,9,9305,9.9,9217,9.8,9139,9.8,21578,23,93663,7.6,,,,
2015,27039,27.4,9976,10.1,8444,8.5,9701,9.8,9217,9.3,10159,10.3,24261,24.6,98798,5.5,,,,
2016,28439,26.3,10330,9.5,9297,8.6,10758,9.9,10239,9.5,10999,10.2,28169,26,108231,9.5,,,,
2017,27857,24.5,10348,9.1,9553,8.4,11790,10.4,11265,9.9,11185,9.8,31667,27.9,113665,5,,,,
2018,27183,23.5,10374,9,9836,8.5,11332,9.8,11294,9.8,11195,9.7,34447,29.8,115660,1.8,,,,
2019,28585,23.6,10374,8.6,10706,8.8,11341,9.4,11337,9.4,11192,9.2,37587,31,121122,4.7,,,,
2020,28598,23,10399,8.3,10733,8.6,11384,9.1,11488,9.2,11238,9,40726,32.7,124566,2.8,,,,
2021,28616,22.6,9278,7.3,10755,8.5,11440,9,11531,9.1,11268,8.9,43991,34.7,126878,1.9,,,,
2022,30024,23,9278,7.1,10775,8.2,11502,8.8,11532,8.8,9563,7.3,47988,36.7,130661,3,,,,
2023,31452,22.9,9362,6.8,10775,7.8,11871,8.6,11562,8.4,9580,7,52899,38.5,137501,5.2,,,,
2024,31468,21.9,9383,6.5,10798,7.5,11917,8.3,12184,8.5,9674,6.7,58344,40.6,143769,4.6,,,,
2025,31471,21.5,9362,6.4,10780,7.4,11146,7.6,12184,8.3,10265,7,60948,41.7,146157,1.7,,,,
2025.1,31468,22.1,9362,6.6,10777,7.6,10517,7.4,12184,8.6,9674,6.8,58500,41.1,142484,3.5,,,,
2,31468,22.1,9362,6.6,10777,7.6,10517,7.4,12184,8.5,9674,6.8,58641,41.1,142624,3.2,,,,
3,31468,22.1,9362,6.6,10777,7.6,10517,7.4,12184,8.5,9674,6.8,58700,41.1,142684,2.9,,,,
4,31468,22,9362,6.6,10777,7.5,10517,7.4,12184,8.5,9674,6.8,58894,41.2,142877,2.9,,,,
5,31468,22,9362,6.5,10777,7.5,10517,7.4,12184,8.5,9675,6.8,58971,41.3,142956,1.8,,,,
6,31468,22,9362,6.5,10778,7.5,10645,7.4,12184,8.5,9675,6.8,59130,41.3,143243,0.7,,,,
7,31468,21.9,9362,6.5,10780,7.5,10645,7.4,12184,8.5,9678,6.7,59844,41.6,143962,1,,,,
8,31468,21.9,9362,6.5,10780,7.5,10645,7.4,12184,8.5,9678,6.7,59895,41.6,144013,0.9,,,,
9,31468,21.7,9362,6.5,10780,7.4,10645,7.3,12184,8.4,10250,7.1,60142,41.5,144832,1.3,,,,
10,31468,21.6,9362,6.4,10780,7.4,11146,7.7,12184,8.4,10251,7,60279,41.4,145470,1.6,,,,
11,31468,21.6,9362,6.4,10780,7.4,11146,7.7,12184,8.4,10262,7,60363,41.5,145567,1.3,,,,
12,31471,21.5,9362,6.4,10780,7.4,11146,7.6,12184,8.3,10265,7,60948,41.7,146157,1.7,,,,
2-3. 연료원별 전력시장 참여 설비용량,,,,,,,,,,,,,,,,,,,,
Market-Registered Generation Capacity by Fuel Type,,,,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,합계,증감률(%),"[단위 : MW, %]",,,
,Nuclear Power,,Coal,,LNG,,Oil,,PSH,,Renewable,,Others,,,,"[Unit : MW, %]",,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,
2001,14716,30.9,15531,32.6,9818,20.6,4710,9.9,2300,4.8,535,1.1,-,-,47609,,,,,
2002,15716,31.5,15931,32,10868,21.8,4500,9,2300,4.6,535,1.1,-,-,49849,4.7,,,,
2003,16716,29.4,16813,29.6,12253,21.5,5423,9.5,2300,4,3386,6,-,-,56889,14.1,,,,
2004,17716,30.1,17620,29.9,12403,21.1,5427,9.2,2300,3.9,3445,5.8,-,-,58910,3.6,,,,
2005,17716,28.8,18717,30.4,13817,22.5,5497,8.9,2300,3.7,3486,5.7,-,-,61532,4.5,,,,
2006,17716,27.1,19719,30.2,13895,21.3,5697,8.7,3900,6,4410,6.7,-,-,65336,6.2,,,,
2007,17716,25.9,21603,31.6,14945,21.8,5677,8.3,3900,5.7,4601,6.7,-,-,68441,4.8,,,,
2008,17716,24.9,24023,33.7,14930,21,5677,8,3900,5.5,4961,7,-,-,71207,4,,,,
2009,17716,24.2,24924,34,15695,21.4,5707,7.8,3900,5.3,5347,7.3,-,-,73288,2.9,,,,
2010,18716,24.2,25050,32.4,18182,23.5,5665,7.3,3900,5,5847,7.6,-,-,77360,5.6,,,,
2011,18716,23.7,25379,32.2,18423,23.4,5337,6.8,4700,6,6272,8,-,-,78826,1.9,,,,
2012,20716,25.1,25437,30.8,20058,24.3,5100,6.2,4700,5.7,6513,7.9,-,-,82524,4.7,,,,
2013,20716,23.8,25496,29.3,23513,27,5040,5.8,4700,5.4,7611,8.7,0,0.0,87075,5.5,,,,
2014,20716,22.1,27236,29.1,28707,30.6,4100,4.4,4700,5,8205,8.8,0,0.0,93663,7.6,,,,
2015,21716,22,28557,28.9,30482,30.9,4100,4.1,4700,4.8,9233,9.3,11,0.0,98798,5.5,,,,
2016,23116,21.4,33754,31.2,33685,31.1,4100,3.8,4700,4.3,8824,8.2,53,0.0,108231,9.5,,,,
2017,22529,19.8,37100,32.6,35609,31.3,3950,3.5,4700,4.1,9694,8.5,82,0.1,113665,5,,,,
2018,21850,18.9,37363,32.3,36961,32,4122,3.6,4700,4.1,10588,9.2,77,0.1,115660,1.8,,,,
2019,23250,19.2,37456,30.9,38875,32.1,3479,2.9,4700,3.9,8738,7.2,4623,3.8,121122,4.7,,,,
2020,23250,18.7,38346,30.8,40725,32.7,2082,1.7,4700,3.8,10696,8.6,4767,3.8,124566,2.8,,,,
2021,23250,18.3,38291,30.2,41528,32.7,2082,1.6,4700,3.7,12170,9.6,4857,3.8,126878,1.9,,,,
2022,24650,18.9,39621,30.3,42108,32.2,838,0.6,4700,3.6,13944,10.7,4800,3.7,130661,3,,,,
2023,26050,18.9,40690,29.6,44257,32.2,615,0.4,4700,3.4,15949,11.6,5241,3.8,137501,5.2,,,,
2024,26050,18.1,41740,29,48062,33.4,531,0.4,4700,3.3,17419,12.1,5267,3.7,143769,4.6,,,,
2025,26050,17.8,41739,28.6,48388,33.1,531,0.4,4700,3.2,19457,13.3,5293,3.6,146157,1.7,,,,
2025.1,26050,18.3,41740,29.3,46662,32.7,531,0.4,4700,3.3,17533,12.3,5267,3.7,142484,3.5,,,,
2,26050,18.3,41740,29.3,46662,32.7,531,0.4,4700,3.3,17674,12.4,5267,3.7,142624,3.2,,,,
3,26050,18.3,41740,29.3,46662,32.7,531,0.4,4700,3.3,17730,12.4,5271,3.7,142684,2.9,,,,
4,26050,18.2,41740,29.2,46662,32.7,531,0.4,4700,3.3,17926,12.5,5268,3.7,142877,2.9,,,,
5,26050,18.2,41740,29.2,46662,32.6,531,0.4,4700,3.3,18005,12.6,5268,3.7,142956,1.8,,,,
6,26050,18.2,41740,29.1,45685,31.9,531,0.4,4700,3.3,18165,12.7,6372,4.4,143243,0.7,,,,
7,26050,18.1,41740,29,47315,32.9,531,0.4,4700,3.3,18355,12.7,5270,3.7,143962,1,,,,
8,26050,18.1,41739,29,47315,32.9,531,0.4,4700,3.3,18404,12.8,5274,3.7,144013,0.9,,,,
9,26050,18,41739,28.8,47886,33.1,531,0.4,4700,3.2,18652,12.9,5274,3.6,144832,1.3,,,,
10,26050,17.9,41739,28.7,48388,33.3,531,0.4,4700,3.2,18786,12.9,5276,3.6,145470,1.6,,,,
11,26050,17.9,41739,28.7,47283,32.5,531,0.4,4700,3.2,18879,13,6385,4.4,145567,1.3,,,,
12,26050,17.8,41739,28.6,48388,33.1,531,0.4,4700,3.2,19457,13.3,5293,3.6,146157,1.7,,,,
