col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016
16시,16 Hour,177,211.53,202.18,222.24,187.88,180.25,266.82,350.36,258.02,265.27,258.26,279.91,243.85,
17시,17 Hour,203.43,228.56,212.23,224.83,217.41,222.25,325.27,425.24,258.43,269.23,263.11,293.57,269.33,
18시,18 Hour,244.02,248.19,225.36,239.36,225.53,249.65,347.8,440.48,259.01,286.78,269.89,288.83,283.36,
19시,19 Hour,269.47,248.93,255.82,261.82,274.26,262.4,360.68,461,261.95,292.68,265.91,283.45,296.19,
20시,20 Hour,256.84,248.15,263.73,302,351.46,278.06,399.53,477.52,270.44,289.4,259.47,282.21,310.32,
21시,21 Hour,244.66,242.02,261.28,301.99,356.32,263.79,386.94,448.57,260.57,279.06,254.96,280,301.88,
22시,22 Hour,222.89,234.83,259.1,290.7,333.07,245.38,354.21,462.41,255.17,269.82,250.71,277.64,291.51,
23시,23 Hour,216.19,233.65,255.22,291.92,311.1,313.66,319.43,418.63,248.17,263.93,242.22,281.99,284.56,
24시,24 Hour,214.21,234.46,260.45,285.63,318.54,213.03,274.15,382.47,238.08,260.73,243.46,283.4,268.65,
가중평균,Weighted Average,206.86,229.85,229.05,250.33,263.73,214.32,261.31,340.91,238.44,255.03,243.97,275.15,252.21,
