col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028,col_029,col_030,col_031,col_032,col_033,col_034,col_035,col_036,col_037,col_038,col_039,col_040,col_041,col_042,col_043,col_044,col_045,col_046,col_047,col_048,col_049,col_050,col_051,col_052,col_053,col_054,col_055,col_056,col_057,col_058,col_059,col_060,col_061,col_062,col_063,col_064,col_065,col_066,col_067,col_068,col_069,col_070,col_071,col_072,col_073,col_074,col_075,col_076,col_077,col_078,col_079,col_080,col_081,col_082,col_083,col_084,col_085,col_086,col_087,col_088,col_089,col_090,col_091,col_092,col_093,col_094,col_095,col_096,col_097,col_098,col_099,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120
B 회원사,Member B,4540,9278,5216,5085,5085,4606,4606,,B 회원사,Member B,3637,9278,4266,4141,4141,3698,3698,,B 회원사,Member B,2476,9278,3089,3092,3092,2777,2777,,B 회원사,Member B,3709,9278,4249,4149,4148,3255,3255,,B 회원사,Member B,3076,9278,3994,3949,3949,3092,3092,,B 회원사,Member B,3279,9278,4130,4065,4065,3211,3211,,B 회원사,Member B,3991,9278,5020,4979,4978,3847,3847,,B 회원사,Member B,4398,9278,5053,5051,5051,4138,4138,,B 회원사,Member B,3600,9278,4360,4307,4307,3355,3355,,B 회원사,Member B,3931,9278,4568,4530,4530,3603,3603,,B 회원사,Member B,3071,9278,3649,3601,3601,2877,2877,,B 회원사,Member B,3958,9278,4241,4222,4222,3759,3759,
C 회원사,Member C,4519,10755,6808,6770,6770,4537,4537,,C 회원사,Member C,3461,10755,5970,5882,5881,3644,3644,,C 회원사,Member C,3990,10755,5646,5633,5631,4003,4003,,C 회원사,Member C,2143,10755,4452,4431,4431,2828,2828,,C 회원사,Member C,3019,10756,4535,4463,4462,3278,3278,,C 회원사,Member C,3408,10756,4904,4736,4734,3377,3377,,C 회원사,Member C,4913,10772,6789,6707,6707,5013,5013,,C 회원사,Member C,4110,10772,6976,6926,6926,3967,3967,,C 회원사,Member C,3267,10772,5880,5855,5854,3383,3383,,C 회원사,Member C,2949,10775,5140,5073,5035,2543,2543,,C 회원사,Member C,3594,10775,5759,5668,5667,3711,3711,,C 회원사,Member C,4689,10775,6694,6674,6671,4633,4633,
D 회원사,Member D,4665,11440,8057,8012,8012,3884,3884,,D 회원사,Member D,4027,11455,6709,6640,6639,3587,3587,,D 회원사,Member D,3274,11455,5482,5468,5465,3577,3577,,D 회원사,Member D,2967,11455,4791,4767,4765,2840,2840,,D 회원사,Member D,2709,11455,4442,4387,4383,2632,2632,,D 회원사,Member D,3590,11464,5322,5105,5100,3222,3222,,D 회원사,Member D,4800,11464,7516,7112,7109,4173,4173,,D 회원사,Member D,4710,11464,7847,7722,7722,3632,3632,,D 회원사,Member D,2733,11464,7309,7282,7282,2656,2656,,D 회원사,Member D,2944,11482,7114,7053,7053,2980,2980,,D 회원사,Member D,3709,11502,7550,7397,7387,3777,3777,,D 회원사,Member D,4153,11502,8195,8148,8147,4373,4373,
E 회원사,Member E,4119,11531,7966,7930,7930,4115,4115,,E 회원사,Member E,3813,11531,7095,7069,7069,3816,3816,,E 회원사,Member E,3287,11531,6449,6473,6472,3742,3742,,E 회원사,Member E,3059,11531,6354,6316,6315,3578,3578,,E 회원사,Member E,3698,11531,6643,6563,6563,4049,4049,,E 회원사,Member E,4491,11531,7132,7055,7055,4534,4534,,E 회원사,Member E,5105,11531,7829,7794,7794,5154,5154,,E 회원사,Member E,4885,11531,8105,8085,8084,4877,4877,,E 회원사,Member E,3798,11531,7022,7019,7019,4147,4147,,E 회원사,Member E,3198,11532,5732,5695,5695,3526,3526,,E 회원사,Member E,2920,11532,4950,4797,4794,3295,3295,,E 회원사,Member E,4690,11532,8432,8313,8311,4809,4809,
F 회원사,Member F,3834,10768,6468,6359,6358,3833,3833,,F 회원사,Member F,3330,9568,4957,4838,4835,2969,2969,,F 회원사,Member F,2543,9572,4217,4180,4180,2638,2638,,F 회원사,Member F,2435,9572,3769,3730,3729,2526,2526,,F 회원사,Member F,2630,9572,3989,3895,3895,2591,2591,,F 회원사,Member F,3587,9564,5038,4826,4826,3125,3125,,F 회원사,Member F,4262,9564,5911,5878,5878,3585,3585,,F 회원사,Member F,4122,9564,5791,5755,5755,3362,3362,,F 회원사,Member F,2944,9564,5445,5422,5420,2955,2955,,F 회원사,Member F,3085,9561,5309,5253,5252,3008,3008,,F 회원사,Member F,3040,9561,5404,5347,5347,3022,3022,,F 회원사,Member F,3690,9563,6177,6028,6026,3891,3891,
기타,Others,10857,44066,20495,20057,20045,14670,14670,,기타,Others,10204,44221,18899,18677,18673,13722,13722,,기타,Others,13770,44285,19638,19312,19305,15920,15920,,기타,Others,10901,44361,16662,16449,16442,13175,13175,,기타,Others,9557,45483,15928,15725,15713,12128,12128,,기타,Others,8361,45514,17007,16733,16723,12097,12097,,기타,Others,10553,45957,18864,18629,18625,14106,14106,,기타,Others,9926,46092,19273,19222,19220,14145,14145,,기타,Others,8993,46502,18290,18099,18096,12293,12293,,기타,Others,8796,47607,16001,15871,15868,12333,12333,,기타,Others,9777,47698,19489,18924,18911,12677,12677,,기타,Others,13548,47988,21965,21434,21425,15976,15976,
합계,Total,47922,126453,70400,69610,69596,51353,51353,,합계,Total,41891,125423,61324,60634,60624,45117,45117,,합계,Total,42925,125491,58118,57761,57748,46268,46268,,합계,Total,38078,125567,53148,52660,52650,41278,41278,,합계,Total,38720,126691,53567,52988,52970,42060,42060,,합계,Total,40892,128123,57769,56674,56657,43976,43976,,합계,Total,48290,128583,66770,65932,65921,50986,50986,,합계,Total,47328,128722,68876,68491,68485,50165,50165,,합계,Total,39032,129133,62172,61576,61569,42669,42669,,합계,Total,38618,130256,57664,57275,57232,42102,42102,,합계,Total,39529,130369,60297,59166,59137,43084,43084,,합계,Total,49232,130661,70269,69391,69374,52316,52316,
2-2-2. 연료원별 월간 항목별 전력거래량(1월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(2월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(3월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(4월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(5월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(6월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(7월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(8월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(9월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(10월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(11월),,,,,,,,,,2-2-2. 연료원별 월간 항목별 전력거래량(12월),,,,,,,,,
Monthly Electric Energy Trading Volume by Item by Fuel Type(January),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(February),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(March),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(April),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(May),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(June),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(July),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(August),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(September),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(October),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(November),,,,,,,,,,Monthly Electric Energy Trading Volume by Item by Fuel Type(December),,,,,,,,,
구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]",구분,,발전계획량,시장참여설비용량,"초기
입찰량","변경
입찰량","조정
입찰량","발전
계량값","전력
거래량","[단위 : GWh, MW]"
,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]",,,Day-Ahead Operation Scheduled energy,Market-registered Generation Capacity,Availability,Re-offered Availability,Adjusted Re-offered Availability,Metered Generation Output,Electric Energy Trading Volume,"[Unit : GWh, MW]"
,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),,,,(GWh),(MW),(GWh),(GWh),(GWh),(GWh),(GWh),
원자력,Nuclear Power,15347,23250,15347,15354,15354,15331,15331,,원자력,Nuclear Power,13385,23250,13385,13346,13345,13314,13314,,원자력,Nuclear Power,13525,23250,13525,13526,13526,13198,13198,,원자력,Nuclear Power,12811,23250,12811,12760,12760,12748,12748,,원자력,Nuclear Power,13957,23250,13957,13926,13926,13912,13912,,원자력,Nuclear Power,14086,24650,14132,14029,14029,14014,14014,,원자력,Nuclear Power,14472,24650,14647,14609,14608,14590,14590,,원자력,Nuclear Power,14968,24650,15621,15506,15504,15487,15487,,원자력,Nuclear Power,13697,24650,13701,13434,13433,13403,13403,,원자력,Nuclear Power,13715,24650,13715,13701,13701,13683,13683,,원자력,Nuclear Power,13418,24650,13419,13352,13352,13337,13337,,원자력,Nuclear Power,14505,24650,14505,14511,14511,14498,14498,
석탄,Coal,20960,37791,21113,20755,20747,17756,17756,,석탄,Coal,17932,37791,18209,17854,17850,15433,15433,,석탄,Coal,13948,37541,13949,13899,13896,13622,13622,,석탄,Coal,14048,37541,14059,13860,13857,12810,12810,,석탄,Coal,15281,38581,15997,15686,15684,13060,13060,,석탄,Coal,18641,38581,19053,18647,18645,14895,14895,,석탄,Coal,22336,38581,22746,22544,22543,18766,18766,,석탄,Coal,22240,38581,23030,22865,22865,18107,18107,,석탄,Coal,16925,38581,20600,20472,20471,14915,14915,,석탄,Coal,16830,39621,19289,19159,19158,13962,13962,,석탄,Coal,16712,39621,19265,18919,18917,14445,14445,,석탄,Coal,19700,39621,22321,22077,22073,18134,18134,
LNG,LNG,11400,41528,32037,31610,31605,14972,14972,,LNG,LNG,10346,41528,28779,28486,28480,13335,13335,,LNG,LNG,15216,41528,29637,29329,29319,16314,16314,,LNG,LNG,10991,41528,25351,25117,25110,12633,12633,,LNG,LNG,9238,41528,22684,22456,22440,11817,11817,,LNG,LNG,7859,41528,23620,23031,23019,12206,12206,,LNG,LNG,10920,41915,28119,27515,27509,14475,14475,,LNG,LNG,9271,41915,28622,28474,28470,12906,12906,,LNG,LNG,8036,42108,26465,26270,26266,11034,11034,,LNG,LNG,7808,42108,23859,23613,23572,11147,11147,,LNG,LNG,9169,42108,26681,25964,25938,12366,12366,,LNG,LNG,14579,42108,32211,31590,31577,16408,16408,
유류,Oil,65,2082,1469,1456,1456,466,466,,유류,Oil,100,882,588,586,586,142,142,,유류,Oil,73,882,620,617,616,117,117,,유류,Oil,65,882,518,517,517,75,75,,유류,Oil,16,882,461,453,453,37,37,,유류,Oil,24,878,471,463,459,58,58,,유류,Oil,40,878,527,518,518,79,79,,유류,Oil,35,838,510,510,510,36,36,,유류,Oil,31,838,485,477,477,53,53,,유류,Oil,72,838,273,261,260,66,66,,유류,Oil,86,838,474,471,471,77,77,,유류,Oil,111,838,587,581,581,114,114,
양수,PSH,0,4700,0,0,0,329,329,,양수,PSH,-2,4700,5,5,5,323,323,,양수,PSH,7,4700,18,16,16,343,343,,양수,PSH,0,4700,6,6,6,266,266,,양수,PSH,0,4700,4,4,4,293,293,,양수,PSH,-4,4700,11,10,10,276,276,,양수,PSH,-1,4700,0,0,0,286,286,,양수,PSH,2,4700,4,4,4,328,328,,양수,PSH,0,4700,6,6,6,315,315,,양수,PSH,0,4700,3,3,3,323,323,,양수,PSH,0,4700,9,8,8,312,312,,양수,PSH,0,4700,1,1,1,312,312,
신재생,Renewable,150,12245,376,378,378,2309,2309,,신재생,Renewable,130,12414,306,306,306,2376,2376,,신재생,Renewable,156,12790,319,326,326,2497,2497,,신재생,Renewable,163,12866,366,365,365,2600,2600,,신재생,Renewable,228,12949,432,433,433,2807,2807,,신재생,Renewable,286,12986,445,458,458,2399,2399,,신재생,Renewable,524,13059,694,708,707,2648,2648,,신재생,Renewable,813,13237,1050,1093,1093,3131,3131,,신재생,Renewable,343,13456,877,879,879,2803,2803,,신재생,Renewable,192,13540,487,499,499,2705,2705,,신재생,Renewable,143,13652,413,416,416,2403,2403,,신재생,Renewable,311,13944,586,573,573,2673,2673,
기타,Others,0,4857,56,56,56,189,189,,기타,Others,0,4857,52,52,52,194,194,,기타,Others,0,4800,50,50,50,178,178,,기타,Others,0,4800,36,36,36,146,146,,기타,Others,0,4800,31,31,31,135,135,,기타,Others,0,4800,37,37,37,129,129,,기타,Others,0,4800,37,37,37,141,141,,기타,Others,0,4800,39,39,39,169,169,,기타,Others,0,4800,37,37,37,146,146,,기타,Others,0,4800,39,39,39,217,217,,기타,Others,1,4800,36,36,36,145,145,,기타,Others,27,4800,58,58,58,177,177,
합계,Total,47922,126453,70400,69610,69596,51353,51353,,합계,Total,41891,125423,61324,60634,60624,45117,45117,,합계,Total,42925,125491,58118,57761,57748,46268,46268,,합계,Total,38078,125567,53148,52660,52650,41278,41278,,합계,Total,38720,126691,53567,52988,52970,42060,42060,,합계,Total,40892,128123,57769,56674,56657,43976,43976,,합계,Total,48290,128583,66770,65932,65921,50986,50986,,합계,Total,47328,128722,68876,68491,68485,50165,50165,,합계,Total,39032,129133,62172,61576,61569,42669,42669,,합계,Total,38618,130256,57664,57275,57232,42102,42102,,합계,Total,39529,130369,60297,59166,59137,43084,43084,,합계,Total,49232,130661,70269,69391,69374,52316,52316,
