col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015
12일,12th,207.73,230.45,208.83,260.59,315.26,250.11,321.02,372.76,216.01,259.11,238.16,263.08,
13일,13th,191.04,222.26,201.59,257.64,319.04,239.04,306.42,375.37,226.84,268.61,178.04,279.75,
14일,14th,207.47,232.39,224.53,236.11,174.08,255.32,279.27,354.54,242.46,260.42,233.58,282.95,
15일,15th,248.49,226.72,217.41,230.99,219.66,212.36,300.49,326.23,242.86,288.31,256.06,287.17,
16일,16th,215.45,231.77,215.36,234.63,345,210.88,255.21,347.45,253.94,307.28,259.22,291.44,
17일,17th,199.4,241.84,209.94,237.25,287.26,191.03,293.28,356.44,248.78,240.58,260.03,276.69,
18일,18th,209.43,249.85,218.77,273.3,306.82,263.34,235.69,380.25,227.68,269.5,260.4,259.9,
19일,19th,208.7,228.29,219.8,270.82,313.3,234.57,257.1,338.83,252.84,273.56,251.42,266.49,
20일,20th,207.07,210.94,226.54,268.7,340.69,236.79,301.56,340.98,258.43,267.41,182.92,284.3,
21일,21st,229.38,231.51,231.68,278.63,297.78,223.69,241.44,331.5,259.87,268.46,258.4,282.76,
22일,22nd,239.26,233.43,226.12,255.09,270.48,257,237.22,351.69,254.91,259.72,257.69,288.24,
23일,23rd,207.93,235.33,277.6,249.73,289.93,184.97,201.24,365.12,250.81,237.95,250.55,280.37,
24일,24th,214.83,232.11,242.03,224.47,308.25,231.39,205.63,374.28,244.48,239.07,256.87,272.25,
25일,25th,225.52,235.14,225.55,239.63,293.13,235.72,270.24,353.35,245.2,250.06,271.77,257.04,
26일,26th,198.36,232.19,223.53,218.66,245.19,207.39,265.33,343.7,266.74,264.17,211.05,274.72,
27일,27th,198.88,212.81,233.39,241.42,246.64,244.43,271.57,310.66,250.64,266.27,202.7,286.87,
28일,28th,205.44,243.78,248.88,277.39,227.4,158,313.47,263.6,253.93,253.28,228.45,286.92,
29일,29th,205.06,0,244.19,273.61,203.56,161.91,294.01,333.8,254.59,243,259.02,285.94,
30일,30th,174.15,0,248.88,242.7,214.29,214.18,245.91,313.3,252.52,231.06,249.91,285.98,
31일,31st,189.9,0,215.8,0,200.71,0,204.6,294.93,0,243.4,0,239.77,
가중평균,Weighted Average,206.86,229.85,229.05,250.33,263.73,214.32,261.31,340.91,238.44,255.03,243.97,275.15,
