col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018
6. 계통한계가격(SMP),,,,,,,,,,,,,,,,,
System Marginal Price(Energe Market Price),,,,,,,,,,,,,,,,,
6-1. 연간 월별 통합SMP,,,,,,,,,,,,,,,,,
Yearly Total System Marginal Price by Month,,,,,,,,,,,,,,,,,
구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,가중평균,[단위 : 원/kWh],,,
,January,February,March,April,May,June,July,August,September,October,Novermber,December,Weighed Average,[단위 : Won/kWh],,,
8,0,0,25,3.4,59,7.9,19,2.6,56,7.5,4,0.5,581,78.1,744,,
9,0,0,40,5.6,105,14.6,62,8.6,36,5,1,0.1,476,66.1,720,,
10,0,0,13,1.7,43,5.8,22,3,8,1.1,0,0,658,88.4,744,,
11,0,0,49,6.8,140,19.4,29,4,23,3.2,36,5,443,61.5,720,,
12,0,0,98,13.2,23,3.1,90,12.1,99,13.3,12,1.6,422,56.7,744,,
6-3. 연료원별 SMP 결정횟수,,,,,,,,,,,,,,,,,
Number of Main Land System Marginal Price Set by Fuel Type,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,합계,"[단위 : 횟수, %]",
,Nuclear Power,,Coal,,LNG,,Oil,,PSH,,Renewable,,Others,,,"[Unit : Number of Times, %]",
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,,
2001,6,0.1,2290,34.8,2640,40.1,1640,24.9,-,-,-,-,-,-,6576,,
2002,11,0.1,2282,26.1,5048,57.6,1419,16.2,-,-,-,-,-,-,8760,,
2003,20,0.2,2084,23.8,5369,61.3,1287,14.7,-,-,-,-,-,-,8760,,
2004,1,0.0,1620,18.4,5792,65.9,1371,15.6,-,-,-,-,-,-,8784,,
2005,-,-,1641,18.7,6256,71.4,863,9.9,-,-,-,-,-,-,8760,,
2006,1,0.0,1461,16.7,5715,65.2,1583,18.1,-,-,-,-,-,-,8760,,
2007,-,-,876,10,6182,70.6,1702,19.4,-,-,-,-,-,-,8760,,
2008,-,-,887,10.1,6850,78,1047,11.9,-,-,-,-,-,-,8784,,
2009,-,-,1477,16.9,6282,71.7,1001,11.4,-,-,-,-,-,-,8760,,
2010,-,-,606,6.9,6970,79.6,1184,13.5,-,-,-,-,-,-,8760,,
2011,-,-,515,5.9,7617,87,628,7.2,-,-,-,-,-,-,8760,,
2012,-,-,202,2.3,7641,87,941,10.7,-,-,-,-,-,-,8784,,
2013,-,-,88,1,7727,88.2,945,10.8,-,-,-,-,-,-,8760,,
2014,-,-,223,2.5,8309,94.9,228,2.6,-,-,-,-,-,-,8760,,
2015,-,-,354,4,7898,90.2,508,5.8,-,-,-,-,-,-,8760,,
2016,-,-,216,2.5,7424,84.5,1144,13,-,-,-,-,-,-,8784,,
2017,-,-,1121,12.8,7160,81.7,479,5.5,-,-,-,-,-,-,8760,,
2018,-,-,341,3.9,8133,92.8,286,3.3,-,-,-,-,-,-,8760,,
2019,-,-,921,10.5,7818,89.2,21,0.2,-,-,-,-,-,-,8760,,
2020,-,-,2150,24.5,6634,75.5,-,-,-,-,-,-,-,-,8784,,
2021,-,-,856,9.8,7904,90.2,-,-,-,-,-,-,-,-,8760,,
2022,2,0.0228310502283105,1008,11.506849315068493,7621,86.99771689497717,125,1.4269406392694064,0,0,4,0.045662100456621,0,0,8760,,
2023,0,0,1316,15,7230,82.5,212,2.4,0,0,2,0,0,0,8760,,
2023.1,0,0,36,4.8,701,94.2,7,0.9,0,0,0,0,0,0,744,,
2,0,0,13,1.9,659,98.1,0,0,0,0,0,0,0,0,672,,
3,0,0,68,9.1,560,75.3,116,15.6,0,0,0,0,0,0,744,,
4,0,0,103,14.3,533,74,84,11.7,0,0,0,0,0,0,720,,
5,0,0,313,42.1,431,57.9,0,0,0,0,0,0,0,0,744,,
6,0,0,214,29.7,505,70.1,1,0.1,0,0,0,0,0,0,720,,
7,0,0,141,19,599,80.5,4,0.5,0,0,0,0,0,0,744,,
8,0,0,58,7.8,685,92.1,0,0,0,0,1,0.1,0,0,744,,
9,0,0,47,6.5,672,93.3,0,0,0,0,1,0.1,0,0,720,,
10,0,0,8,1.1,736,98.9,0,0,0,0,0,0,0,0,744,, 
11,0,0,96,13.3,624,86.7,0,0,0,0,0,0,0,0,720,,
12,0,0,219,29.4,525,70.6,0,0,0,0,0,0,0,0,744,,
